Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,Year,Preformance Index,School Type,White,Asian,Black,Hispanic,AYP Met?
5,Cleveland Municipal,043786,Albert B Hart,000026,"3901 E 74th St Cleveland, OH   44105-3808",2009,55.9,K-8,,,,,Not Met
0,Ada Exempted Village,045187,Ada Elementary School,000059,"435 Grand Ave Ada, OH   45810-1013",2009,98.0,K-6,,,,,Met
0,Ada Exempted Village,045187,Ada High School,000067,"435 Grand Ave Ada, OH   45810-1013",2009,95.6,7-12,,,,,
2,Sandusky City,044743,Adams Junior High School,000083,"318 Columbus Ave Sandusky, OH   44870-2616",2009,87.4,7,,,,,Met
8,Hamilton City,044107,Adams Elementary School,000091,"450 S F St Hamilton, OH   45013-3245",2009,96.1,K-6,,,,,Met
0,Meigs Local,048520,Meigs Intermediate School,000105,"36871 State Route 124 Middleport, OH   45760-9717",2009,84.60000000000001,3-5,,,,,Met
0,Tri-Valley Local,048876,Adamsville Elementary School,000117,"7950 East St Adamsville, OH   43802-9024",2009,92.9,K-6,,,,,Met
1,Hamilton Local,046953,Hamilton Intermediate School,000118,"5132 Parsons Ave Lockbourne, OH   43137-9216",2009,91.3,4-6,,,,,Met
0,Oak Hill Union Local,047761,Oak Hill Middle/High School,000119,"5063 State Route 93 Oak Hill, OH   45656-9408",2009,91.7,6-12,,,,,
0,Oak Hill Union Local,047761,Oak Hill Elementary,000124,"401 Evans St Oak Hill, OH   45656-1131",2009,90.0,K-5,,,,,Met
2,Polly Fox Academy Community School,000125,Polly Fox Academy Community School,000125,"2238 Jefferson Ave Toledo, OH   43624-1120",2009,58.9,7-12,,,,,
2,Phoenix Academy Community School,000130,Phoenix Academy Community School,000130,"2238 Jefferson Ave Toledo, OH   43624-1120",2009,45.7,7-12,,,,,
0,Northeastern Local,046250,South Vienna Middle School,000135,"140 W Main St South Vienna, OH   45369-9753",2009,96.0,6-8,,,,,Met
1,Northeastern Local,046250,Northridge Middle School,000137,"4445 Ridgewood Rd E Springfield, OH   45503-5933",2009,94.8,6-8,,,,,Met
8,Pathway School of Discovery,000138,Pathway School of Discovery,000138,"173 Avondale Dr Dayton, OH   45404-2123",2009,92.6,K-8,,,,,Met
3,Alliance Academy of Cincinnati,000139,Alliance Academy of Cincinnati,000139,"1712 Duck Creek Rd Cincinnati, OH   45207-1644",2009,67.6,K-8,,,,,Met
3,Victory Academy of Toledo,000140,Victory Academy of Toledo,000140,"3319 Nebraska Ave Toledo, OH   43607-2819",2009,57.0,K-8,,,,,Met
0,Gallia County Local,065680,Addaville Elementary School,000141,"1333 Brick School Rd Gallipolis, OH   45631-8782",2009,102.8,K-5,,,,,Met
3,George A. Phillips Academy,000143,George A. Phillips Academy,000143,"3648 Victory Ave Toledo, OH   43607-2564",2009,57.8,K-12,,,,,Not Met
2,Newark City,044453,Newark Digital Academy,000162,"255 Woods Ave Newark, OH   43055-4436",2009,76.3,K-12,,,,,
0,Fairland Local,047936,Fairland West Elementary School,000177,"110 Township Road 1125 Proctorville, OH   45669-8519",2009,97.8,3-5,,,,,Met
0,Centerburg Local,047829,Centerburg Middle School,000187,"3782 Columbus Road Centerburg, OH   43011",2009,95.1,6-8,,,,,Met
0,Buckeye Local,047787,Buckeye West Elementary School,000190,"243 N Mill St Adena, OH   43901-7992",2009,93.4,"K-5,P",,,,,Met
4,Hope Academy East Campus,000195,Hope Academy East Campus,000195,"15720 Kipling Ave Cleveland, OH   44110-3105",2009,75.8,K-8,,,,,Met
1,Hamilton Local,046953,Hamilton Local Digital Academy,000197,"775 Rathmell Rd Columbus, OH   43207-4737",2009,72.10000000000001,K-12,,,,,
0,Adena Local,049494,Adena High School,000208,"3367 County Road 550 Frankfort, OH   45628-9503",2009,98.2,9-12,,,,,
0,Wildwood Environmental Academy,000222,Wildwood Environmental Academy,000222,"1546 Dartford Rd Maumee, OH   43537-1374",2009,86.10000000000001,K-8,,,,,Met
2,Cleveland Municipal,043786,Adlai Stevenson School,000224,"3938 Jo Ann Dr Cleveland, OH   44122-6441",2009,64.1,K-8,,,,,Met
2,Union-Scioto Local,049536,Unioto Elementary,000231,"138 Sandusky Blvd Chillicothe, OH   45601-9432",2009,95.7,K-6,,,,,Met
4,South Euclid-Lyndhurst City,044792,Adrian Elementary School,000232,"1071 Homestead Rd South Euclid, OH   44121-3580",2009,101.3,K-3,,,,,Met
2,Toledo City,044909,Lincoln Academy for Boys,000233,"514 Palmwood Ave Toledo, OH   43604-8052",2009,71.0,K-6,,,,,Met
2,Toledo City,044909,Ella P. Stewart Academy for Girls,000234,"707 Avondale Ave Toledo, OH   43604-8305",2009,80.9,K-6,,,,,Met
4,"Ohio Connections Academy, Inc",000236,"Ohio Connections Academy, Inc",000236,"2727 Madison Rd Cincinnati, OH   45209-2276",2009,88.10000000000001,K-12,,,,,Met
0,New Philadelphia City,044487,Quaker Digital Academy,000241,"400 Mill Ave SE  Suite 901 New Philadelphia, OH   44663-2150",2009,85.4,K-12,,,,,
0,North Union Local,050336,North Union Elementary School,000242,"420 Grove St Richwood, OH   43344-9022",2009,93.8,"K-5,P",,,,,Met
5,Cleveland Municipal,043786,Early Childhood Development,000251,"9711 Lamont Ave Cleveland, OH   44106-4124",2009,98.4,"K-3,P",,,,,Not Met
0,Alexander Local,045906,Alexander Elementary School,000257,"6105 School Road Albany, OH   45710-9236",2009,93.7,"K-5,P",,,,,Met
3,North Royalton City,044545,Albion Elementary School,000265,"9360 Albion Rd North Royalton, OH   44133-1768",2009,108.2,1-4,,,,,Met
0,Tiffin City,044891,Tiffin City Digital Academy,000268,"244 S Monroe St Tiffin, OH   44883-2906",2009,76.8,K-12,,,,,
0,Norwalk City,044560,Main Street School,000270,"80 E Main St Norwalk, OH   44857-1714",2009,98.6,5-6,,,,,Met
6,Scholarts Preparatory and Career Center for Children,000277,Scholarts Preparatory and Career Center for Children,000277,"PO Box 360895 Columbus, OH   43236-0895",2009,56.4,K-12,,,,,
0,Warren County Virtual Community School,000282,Warren County Virtual Community School,000282,"320 E Silver St Lebanon, OH   45036-1816",2009,69.10000000000001,9-12,,,,,
7,Auglaize County Special Needs School,000287,Auglaize County Special Needs School,000287,"1130A East Albert St Lima, OH   45804-1614",2009,102.3,K-12,,,,,
7,Auglaize County Educational Academy,000288,Auglaize County Educational Academy,000288,"1130A East Albert St Lima, OH   45804-1614",2009,82.2,K-12,,,,,
0,Brown Local,046177,Malvern Middle School,000291,"401 W Main St Malvern, OH   44644-9482",2009,90.4,6-8,,,,,Met
7,Summit Academy Columbus,000296,Summit Academy Columbus,000296,"1855 E Dublin Granville Rd Columbus, OH   43229-3516",2009,55.1,"K,1-8,UNG",,,,,Met
5,Summit Academy Dayton,000297,Summit Academy Dayton,000297,"1407 E 3rd St Dayton, OH   45403-1818",2009,50.9,"K,1-12,UNG",,,,,
6,Summit Academy Secondary - Akron,000298,Summit Academy Secondary - Akron,000298,"864 E Market St Akron, OH   44305-2424",2009,72.0,"8-12,UNG",,,,,
5,Cleveland Municipal,043786,Alexander Graham Bell,000299,"11815 Larchmere Blvd Cleveland, OH   44120-1132",2009,78.7,"P,K-8",,,,,Met
6,Summit Academy Secondary - Canton,000300,Summit Academy Secondary - Canton,000300,"2400 Cleveland Ave NW Canton, OH   44709-3613",2009,77.0,"8-12,UNG",,,,,
2,Summit Academy Secondary - Lorain,000301,Summit Academy Secondary - Lorain,000301,"760 Tower Blvd Lorain, OH   44052-5223",2009,78.60000000000001,"8-12,UNG",,,,,
8,Summit Academy Secondary School-Parma,000302,Summit Academy Secondary School-Parma,000302,"5868 Stumph Rd Parma, OH   44130-1736",2009,63.3,"K,1-12,UNG",,,,,
1,Summit Academy Secondary - Youngstown,000303,Summit Academy Secondary - Youngstown,000303,"1400 Oak Hill Ave Youngstown, OH   44507-1018",2009,66.4,"8-12,UNG",,,,,
3,Summit Academy Community School-Toledo,000304,Summit Academy Community School-Toledo,000304,"3891 Martha St Toledo, OH   43612-1250",2009,60.7,"K,1-9,UNG",,,,,Met
1,Summit Academy Community School-Warren,000305,Summit Academy Community School-Warren,000305,"2106 Arbor Ave SE Warren, OH   44484-5225",2009,68.4,"K,1-5,UNG",,,,,Met
5,Summit Academy Cincinnati,000306,Summit Academy Cincinnati,000306,"745 Derby Ave Cincinnati, OH   45232-1836",2009,55.9,"1-8,UNG",,,,,Met
0,Seneca East Local,049684,Bridges Community Academy,000311,"190 St Francis Ave Tiffin, OH   44883-3475",2009,96.3,K-12,,,,,
0,Alexander Local,045906,Alexander High School,000315,"6125 School Rd Albany, OH   45710-8904",2009,98.2,9-12,,,,,
9,Constellation Schools: Westpark Community Middle School,000316,Constellation Schools: Westpark Community Middle School,000316,"5983 W 54th St Parma, OH   44129-3854",2009,85.4,5-9,,,,,Met
11,Constellation Schools:  Madison Community Elementary,000319,Constellation Schools:  Madison Community Elementary,000319,"2015 W 95th St Cleveland, OH   44102-3727",2009,88.9,K-8,,,,,Met
9,Constellation Schools: Lorain Community Middle School,000320,Constellation Schools: Lorain Community Middle School,000320,"5983 W 54th St Parma, OH   44129-3854",2009,73.9,5-9,,,,,Met
9,Constellation Schools: Old Brooklyn Middle School,000321,Constellation Schools: Old Brooklyn Middle School,000321,"5983 W 54th St Parma, OH   44129-3854",2009,95.7,5-9,,,,,Met
1,Horizon Science Academy Toledo,000338,Horizon Science Academy Toledo,000338,"425 Jefferson Ave Toledo, OH   43604-1060",2009,99.0,K-12,,,,,
2,Youngstown City Schools,045161,NovaNet High School,000342,"20 W Wood St Youngstown, OH   44503-1028",2009,31.7,5-12,,,,,
2,Chase Academy for Communication Arts,000343,Chase Academy for Communication Arts,000343,"1565 Integrity Dr E Columbus, OH   43209-2707",2009,71.8,K-12,,,,,Met
0,Elmwood Local,050682,Elmwood Elementary School,000345,"7650 Jerry City Rd Bloomdale, OH   44817-9763",2009,95.3,"K-4,P",,,,,Met
5,Lorain City,044263,Palm Elementary School,000348,"3330 Palm Ave Lorain, OH   44055-2152",2009,78.0,K-6,,,,,Met
0,Upper Scioto Valley Local,047522,Upper Scioto Valley Middle School,000349,"701 N Main St McGuffey, OH   45859",2009,84.10000000000001,6-8,,,,,Met
2,Highland Local,048496,Granger Elementary School,000350,"3940 Ridge Rd Medina, OH   44256-8618",2009,106.7,"K-5,P",,,,,Met
3,Marion City,044339,Ulysses S. Grant Middle School,000351,"420 Presidential Dr Marion, OH   43302-5173",2009,79.10000000000001,6-8,,,,,Not Met
3,Marion City,044339,William McKinley Elementary School,000352,"925 Chatfield Rd Marion, OH   43302-7110",2009,87.9,"K-5,P",,,,,Met
3,Genoa Area Local,048942,Allen Elementary School,000356,"4865 N Genoa Clay Center Rd Curtice, OH   43412-9617",2009,96.1,3-5,,,,,Met
5,Miamisburg City,044396,Miamisburg Secondary Digital Academy,000360,"540 Park Ave Miamisburg, OH   45342-2854",2009,81.7,9-12,,,,,
8,Akron City,043489,Bridges Learning Center,000362,"33 Dorcas Ave Akron, OH   44305-4201",2009,59.9,K-8,,,,,Met
6,Akron City,043489,Akron Alternative Academy,000363,"235 Smith St Akron, OH   44303-2336",2009,84.7,9-12,,,,,
0,Allen East Local,045757,Allen East High School,000364,"9105 Harding Hwy Harrod, OH   45850-9485",2009,100.4,9-12,,,,,
3,Strongsville City,044842,Allen Elementary School,000380,"16400 Park Lane Dr Strongsville, OH   44136-6352",2009,107.8,K-6,,,,,Met
0,Crestwood Local,049189,Crestwood Intermediate School,000383,"11260 Bowen Rd Mantua, OH   44255-9454",2009,97.4,3-5,,,,,Met
0,Logan-Hocking Local,044248,Chieftain Elementary School,000384,"28296 Chieftain Dr Logan, OH   43138-9557",2009,94.6,"K-5,P",,,,,Met
0,Logan-Hocking Local,044248,Hocking Hills Elementary School,000385,"19197 State Route 664 S Logan, OH   43138-9536",2009,100.2,"K-5,P",,,,,Met
0,Logan-Hocking Local,044248,Central Intermediate Elementary School,000386,"680 W Hunter St Logan, OH   43138-1109",2009,93.0,"P,4-5",,,,,Met
0,Logan-Hocking Local,044248,Central Primary Elementary School,000387,"501 E Main St Logan, OH   43138-1416",2009,107.7,K-3,,,,,Met
0,Conneaut Area City,043810,Gateway Elementary School,000388,"229 Gateway Av Conneaut, OH   44030",2009,90.9,3-5,,,,,Met
3,Mansfield Enhancement Academy,000392,Mansfield Enhancement Academy,000392,"445 Bowman St Mansfield, OH   44903-1201",2009,73.4,9-12,,,,,
3,Mansfield City,044297,Mansfield Elective Academy,000396,"445 Bowman St Mansfield, OH   44903-1201",2009,55.4,K-8,,,,,Met
