School Name,Address,Telephone,long,lat
565 Academy,"3700 Dorr St, Toledo, OH 43606",(419) 535-0060,-83.63155909999999,41.6536569
A Family of Faith Homeschool,"7179 Galena Ave, NW, Canal Fulton, OH 44614",(248) 224-6996,-81.53028599999999,40.8863049
A World of Learning Academy,"8888 Shepard Road, Macedonia, OH 44056",(412) 329-8887,-81.48966070000002,41.3168571
Absorbent Minds Montessori School - Tallmadge,"PO Box 209, Cuyahoga Falls, OH 44221",(330) 633-8299,-81.4828198,41.1362185
Academy of the Immaculate Heart of Mary,"2935 Chenoweth Road, Akron, OH 44312",(330) 644-3526,-81.4884598,40.9887
Acumen Academy,"19516 Overland Park Dr, Strongsville, OH 44149",(440) 572-3427,-81.84064389999999,41.3091104
Ada Christian Academy,"4073 State Route 309, Ada, OH 45810",(419) 634-9929,-83.803246,40.733375
Agape Christian Academy,"14220 Claridon Troy Rd, Burton, OH 44021",(440) 834-8022,-81.1458481,41.4816803
Agnus Dei Academy,"3292 Driftwood Road, Norton, OH 44203",(330) 825-7497,-81.6451826,41.0446539
AJP Academy,"4540 Korner Drive, Huber Heights, OH 45424",(513) 331-0231,-84.1309186,39.8269343
Akron First Academy and Preschool,"1175 West Market Street, Akron, OH 44313",(330) 836-1436,-81.55251489999999,41.1021706
Aletheia Academy,"1526 Bass Wood Drive, Uniontown, OH 44685",(732) 500-2483,-81.4785519,40.9500644
Alethia Academy,"393 Madison Ave, Marion, OH 43302",(740) 396-4039,-83.0981463,40.5958439
All Saints Academy,"4400 Lustig Rd, Dalton, OH 44618",,-81.67660599999999,40.746014
All Saints Catholic School,"3810 Autumn Drive, Huron, OH 44839",(419) 626-4383,-82.644525,41.4094793
Allen-James Academy,"6230 Raspberry Court, Clayton, OH 45315",(937) 838-1298,-84.3145311,39.83871680000001
Anchored Hope Christian Academy,"3578 Rosslare Harbour Drive, Pickerington, OH 43147",(614) 584-6253,-82.8016042,39.9099192
Antiquity Academy,"6216 State Route 521, Sunbury, OH 43074",(740) 524-2112,-82.94963059999999,40.327771
Apostolic Christian Academy,"5701 Sylvania Avenue, Toledo, OH 43623",(419) 855-5334,-83.68093089999999,41.6905532
Aptamus Usquam Discere Academy,"3169 Goda Avenue, Cincinnati, OH 45211",(513) 205-9762,-84.5996335,39.1665474
Aquila Academy,"1095 Westchester Ave, Napoleon, OH 43545",(214) 938-1984,-84.14347240000001,41.38963460000001
Arete Academy,"1366 Harold Stewart Parkways, Pataskala, OH 43062",(740) 303-2738,-82.6567414,40.0082186
As We Walk Academy,"39585 Calann Drive, Elyria, OH 44035",(440) 452-9803,-82.0899692,41.3506642
Ashley's Adventist Academy,"1079 Township Road 266, Kitts Hill, OH 45645",(740) 646-8027,-82.5519977,38.5150499
Ave Maria School,"383 Township Road 376, Toronto, OH 43964",(740) 317-4069,-80.6393035,40.4537062
Avicenna Preparatory School,"2712 Sawbury Blvd, Columbus, OH 43235",(614) 374-2184,-83.0876959,40.115115
Avon Montessori Academy,"37701 Colorado Ave, Suite C, Avon, OH 44011",(440) 934-1774,-82.0421563,41.45785
Ball Home School,"15956 North Liberty Rd, Mount Vernon, OH 43050",(740) 398-4992,-82.444745,40.4645269
Banah Academy,"7422 Clancy Way, Westerville, OH 43082",(614) 795-4484,-82.9024776,40.1580862
