Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,School Type,long,lat
,Cleveland Municipal,043786,Albert B Hart,000026,"3901 E 74th St Cleveland, OH   44105-3808",K-8,-81.636359,41.452498
,Ada Exempted Village,045187,Ada Elementary School,000059,"435 Grand Ave Ada, OH   45810-1013",K-6,-83.82948259999999,40.7747376
,Ada Exempted Village,045187,Ada High School,000067,"435 Grand Ave Ada, OH   45810-1013",7-12,-83.82948259999999,40.7747376
,Sandusky City,044743,Adams Junior High School,000083,"318 Columbus Ave Sandusky, OH   44870-2616",7,-82.70980139999999,41.4541264
,Hamilton City,044107,Adams Elementary School,000091,"450 S F St Hamilton, OH   45013-3245",K-6,-84.57549,39.401909
,Meigs Local,048520,Meigs Intermediate School,000105,"36871 State Route 124 Middleport, OH   45760-9717",3-5,-82.11379099999999,39.032069
,Tri-Valley Local,048876,Adamsville Elementary School,000117,"7950 East St Adamsville, OH   43802-9024",K-6,-81.8815894,40.0662056
,Hamilton Local,046953,Hamilton Intermediate School,000118,"5132 Parsons Ave Lockbourne, OH   43137-9216",4-6,-82.9872157,39.8576111
,Oak Hill Union Local,047761,Oak Hill Middle/High School,000119,"5063 State Route 93 Oak Hill, OH   45656-9408",6-12,-82.57528909999999,38.9056145
,Oak Hill Union Local,047761,Oak Hill Elementary,000124,"401 Evans St Oak Hill, OH   45656-1131",K-5,-82.5644842,38.904449
,Polly Fox Academy Community School,000125,Polly Fox Academy Community School,000125,"2238 Jefferson Ave Toledo, OH   43624-1120",7-12,-83.5527367,41.6584552
,Phoenix Academy Community School,000130,Phoenix Academy Community School,000130,"2238 Jefferson Ave Toledo, OH   43624-1120",7-12,-83.5527367,41.6584552
,Northeastern Local,046250,South Vienna Middle School,000135,"140 W Main St South Vienna, OH   45369-9753",6-8,-83.6149709,39.9285005
,Northeastern Local,046250,Northridge Middle School,000137,"4445 Ridgewood Rd E Springfield, OH   45503-5933",6-8,-83.7720168,39.9870302
,Pathway School of Discovery,000138,Pathway School of Discovery,000138,"173 Avondale Dr Dayton, OH   45404-2123",K-8,-84.1564174,39.7955901
,Alliance Academy of Cincinnati,000139,Alliance Academy of Cincinnati,000139,"1712 Duck Creek Rd Cincinnati, OH   45207-1644",K-8,-84.470164,39.1421025
,Victory Academy of Toledo,000140,Victory Academy of Toledo,000140,"3319 Nebraska Ave Toledo, OH   43607-2819",K-8,-83.6221231,41.6444874
,Gallia County Local,065680,Addaville Elementary School,000141,"1333 Brick School Rd Gallipolis, OH   45631-8782",K-5,-82.1721705,38.9054929
,George A. Phillips Academy,000143,George A. Phillips Academy,000143,"3648 Victory Ave Toledo, OH   43607-2564",K-12,-83.629128,41.648305
,Newark City,044453,Newark Digital Academy,000162,"255 Woods Ave Newark, OH   43055-4436",K-12,-82.41665669999999,40.0641369
,Fairland Local,047936,Fairland West Elementary School,000177,"110 Township Road 1125 Proctorville, OH   45669-8519",3-5,-82.3581578,38.4460033
,Centerburg Local,047829,Centerburg Middle School,000187,"3782 Columbus Road Centerburg, OH   43011",6-8,-82.705479,40.294354
,Buckeye Local,047787,Buckeye West Elementary School,000190,"243 N Mill St Adena, OH   43901-7992","K-5,P",-80.87111689999999,40.2213147
,Hope Academy East Campus,000195,Hope Academy East Campus,000195,"15720 Kipling Ave Cleveland, OH   44110-3105",K-8,-81.5682546,41.55463779999999
,Hamilton Local,046953,Hamilton Local Digital Academy,000197,"775 Rathmell Rd Columbus, OH   43207-4737",K-12,-82.98398089999999,39.8601562
,Adena Local,049494,Adena High School,000208,"3367 County Road 550 Frankfort, OH   45628-9503",9-12,-83.1932633,39.4157153
,Wildwood Environmental Academy,000222,Wildwood Environmental Academy,000222,"1546 Dartford Rd Maumee, OH   43537-1374",K-8,-83.6871031,41.6117441
,Cleveland Municipal,043786,Adlai Stevenson School,000224,"3938 Jo Ann Dr Cleveland, OH   44122-6441",K-8,-81.5511642,41.4545213
,Union-Scioto Local,049536,Unioto Elementary,000231,"138 Sandusky Blvd Chillicothe, OH   45601-9432",K-6,-83.0170868,39.3694595
,South Euclid-Lyndhurst City,044792,Adrian Elementary School,000232,"1071 Homestead Rd South Euclid, OH   44121-3580",K-3,-81.5261242,41.5310266
,Toledo City,044909,Lincoln Academy for Boys,000233,"514 Palmwood Ave Toledo, OH   43604-8052",K-6,-83.5557781,41.6540744
,Toledo City,044909,Ella P. Stewart Academy for Girls,000234,"707 Avondale Ave Toledo, OH   43604-8305",K-6,-83.5611376,41.6489498
,"Ohio Connections Academy, Inc",000236,"Ohio Connections Academy, Inc",000236,"2727 Madison Rd Cincinnati, OH   45209-2276",K-12,-84.4416815,39.1451672
,New Philadelphia City,044487,Quaker Digital Academy,000241,"400 Mill Ave SE  Suite 901 New Philadelphia, OH   44663-2150",K-12,-81.44065959999999,40.4806172
,North Union Local,050336,North Union Elementary School,000242,"420 Grove St Richwood, OH   43344-9022","K-5,P",-83.3028964,40.4362957
,Cleveland Municipal,043786,Early Childhood Development,000251,"9711 Lamont Ave Cleveland, OH   44106-4124","K-3,P",-81.6193641,41.5090449
,Alexander Local,045906,Alexander Elementary School,000257,"6105 School Road Albany, OH   45710-9236","K-5,P",-82.2066378,39.2257046
,North Royalton City,044545,Albion Elementary School,000265,"9360 Albion Rd North Royalton, OH   44133-1768",1-4,-81.755898,41.3372609
